"SaleID,PropertyID,LocationID,SalePrice,ListPrice,DaysOnMarket,LastSaleDate,PricePerSqFt,HOAFees,PropertyTax"
"1,1001,1,445000,450000,45,5/15/2022,247.22,0,5400"
"2,1002,2,375000,380000,30,7/1/2022,312.50,350,4500"
"3,1003,3,315000,320000,60,8/12/2022,196.88,200,3800"
"4,1004,4,540000,550000,38,9/3/2022,245.45,0,6600"
"5,1005,5,195000,200000,25,10/17/2022,243.75,275,2400"
"6,1006,6,395000,400000,52,11/22/2022,232.35,180,4800"
"7,1007,7,740000,750000,40,12/5/2022,264.29,0,9000"
"8,1008,8,345000,350000,35,1/8/2023,313.64,300,4200"
"9,1009,9,475000,480000,48,2/14/2023,250.00,0,5760"
"10,1010,10,515000,520000,55,3/20/2023,257.50,220,6240"
"11,1011,11,590000,600000,42,4/25/2023,245.83,0,7200"
"12,1012,12,175000,180000,28,5/30/2023,233.33,250,2160"
"13,1013,13,375000,380000,50,7/4/2023,214.29,0,4560"
"14,1014,14,445000,450000,38,8/9/2023,247.22,200,5400"
"15,1015,15,790000,800000,60,9/15/2023,263.33,0,9600"
"16,1016,16,315000,320000,32,10/20/2023,242.31,300,3840"
"17,1017,17,615000,620000,45,11/25/2023,236.54,0,7440"
"18,1018,18,395000,400000,40,12/30/2023,232.35,180,4800"
"19,1019,19,495000,500000,35,2/4/2024,267.57,0,6000"
"20,1020,20,215000,220000,25,3/10/2024,238.89,275,2640"
"21,1021,21,575000,580000,48,4/15/2024,250.00,0,6960"
"22,1022,22,465000,470000,42,5/20/2024,244.74,200,5640"
"23,1023,23,415000,420000,38,6/25/2024,244.12,0,5040"
"24,1024,24,325000,330000,30,7/30/2024,295.45,320,3960"
"25,1025,25,690000,700000,55,9/4/2024,246.43,0,8400"
"26,1026,26,375000,380000,40,10/9/2024,234.38,180,4560"
"27,1027,27,545000,550000,45,11/14/2024,247.73,0,6600"
"28,1028,28,195000,200000,28,12/19/2024,243.75,250,2400"
"29,1029,29,475000,480000,50,1/23/2025,250.00,0,5760"
"30,1030,30,515000,520000,42,2/28/2025,257.50,220,6240"
"31,1031,31,445000,450000,38,4/4/2025,247.22,0,5400"
"32,1032,32,355000,360000,32,5/9/2025,295.83,300,4320"
"33,1033,33,595000,600000,48,6/14/2025,247.92,0,7200"
"34,1034,34,415000,420000,40,7/19/2025,244.12,200,5040"
"35,1035,35,740000,750000,55,8/23/2025,264.29,0,9000"
"36,1036,36,185000,190000,25,9/28/2025,246.67,275,2280"
"37,1037,37,465000,470000,42,11/2/2025,251.35,0,5640"
"38,1038,38,395000,400000,38,12/7/2025,246.88,180,4800"
"39,1039,39,575000,580000,50,1/11/2026,261.36,0,6960"
"40,1040,40,325000,330000,30,2/16/2026,295.45,300,3960"
"41,1041,41,495000,500000,45,3/23/2026,260.53,0,6000"
"42,1042,42,535000,540000,42,4/27/2026,267.50,220,6480"
"43,1043,43,740000,750000,55,6/2/2026,264.29,0,9000"
"44,1044,44,205000,210000,28,7/7/2026,256.25,250,2520"
"45,1045,45,435000,440000,40,8/11/2026,248.57,0,5280"
"46,1046,46,425000,430000,38,9/16/2026,250.00,200,5160"
"47,1047,47,575000,580000,48,10/21/2026,261.36,0,6960"
"48,1048,48,345000,350000,32,11/25/2026,287.50,300,4200"
"49,1049,49,485000,490000,45,12/30/2026,255.26,0,5880"
"50,1050,50,395000,400000,40,2/3/2027,246.88,180,4800"
"51,1051,51,715000,720000,55,3/10/2027,255.36,0,8640"
"52,1052,52,195000,200000,25,4/14/2027,260.00,275,2400"
"53,1053,53,615000,620000,50,5/19/2027,256.25,0,7440"
"54,1054,54,445000,450000,42,6/23/2027,261.76,200,5400"
